pumedid	entity_id	entity	entity_type	correct	not_an_entity	wrong_border	entity_position
34944291	005	liver apoptosis	phenotype	0	0	0	1097:1111
34944291	006	nuclear factor E2	gene	0	0	0	1256:1272
34944291	007	related factor 2	gene	0	0	0	1274:1289
34924861	001	2 aquatic plant species	phenotype	0	0	0	658:680
34924861	002	Nymphaea nouchali and Nymphaea lotus	phenotype	0	0	0	683:718
34924861	003	porphyria	phenotype	0	0	0	1064:1072
34923880	001	SCNN1B	gene	0	0	0	68:73,174:179,245:250,68:73,174:179,245:250,68:73,174:179,245:250,345:350,481:486,771:776,898:903,1079:1084,1246:1251,1403:1408,1605:1610,1781:1786,1963:1968,1781:1786,1963:1968,2028:2033
34923880	002	eggshell strength	phenotype	0	0	0	1302:1318
34903938	001	bacterial illnesses	phenotype	0	0	0	54:72
34837623	001	dry weight	phenotype	0	0	0	528:537
34815022	001	gastrointestinal tract	phenotype	0	0	0	1597:1618
34815022	002	breast muscle	phenotype	0	0	0	1677:1689
34804075	001	inflammatory responses	phenotype	0	0	0	1740:1761
34780047	001	superoxide dismutase A	gene	0	0	0	434:455
34780047	002	phosphate dehydrogenase	gene	0	0	0	502:524
34780047	003	clinical condition	phenotype	0	0	0	1096:1113
34729831	001	destruction of intestinal structure	phenotype	0	0	0	417:451
34729831	002	oxidative stress	phenotype	0	0	0	454:469
34729831	003	mitochondrial dysfunction	phenotype	0	0	0	472:496
34729831	004	inflammatory response	phenotype	0	0	0	499:519
34729831	005	permeability alteration	phenotype	0	0	0	525:547
34729831	006	Occludin	gene	0	0	0	739:746
34729831	007	intestinal dysfunction	phenotype	0	0	0	593:614
34729831	008	T	gene	0	0	0	962:962,985:985
34729831	009	CAT	gene	0	0	0	983:985
34729831	00A	Keap1	gene	0	0	0	1017:1021,1174:1178
34729831	00B	TLR4	gene	0	0	0	1270:1273
34729831	00C	TXNIP	gene	0	0	0	1362:1366
34729831	00D	NLRP3	gene	0	0	0	1369:1373
34729831	00E	TNF	gene	0	0	0	1468:1470
34729831	00F	acute ileitis	phenotype	0	0	0	1631:1643
34677035	001	left pelvic limb lameness	phenotype	0	0	0	280:304
34677035	002	osteomyelitis	phenotype	0	0	0	566:578
34677035	003	gastrointestinal foreign	phenotype	0	0	0	994:1017
34635656	001	type lectin	gene	0	0	0	462:472
34635656	002	NR2F2	gene	0	0	0	756:760
34635656	003	adipose deposition	phenotype	0	0	0	846:863
34582734	001	white noise	phenotype	0	0	0	763:773
34521392	001	poultry infection	phenotype	0	0	0	204:220
34474531	001	caging stress	phenotype	0	0	0	142:154,392:404,1835:1847
34474531	002	oxidative stress	phenotype	0	0	0	514:529
34474531	003	fatty acids	phenotype	0	0	0	1651:1661
34468515	001	blood parasites	phenotype	0	0	0	894:908
34468515	002	Histomonas meleagridis 8	phenotype	0	0	0	1600:1623
34460868	001	Avian influenza A viruses	phenotype	0	0	0	1:25
34426624	001	feeding habits	phenotype	0	0	0	664:677
34421865	001	SE infection	phenotype	0	0	0	297:308,1494:1505
34421865	002	systemic infection	phenotype	0	0	0	1402:1419
34421865	003	IL15	gene	0	0	0	1587:1590
34421865	004	CD40	gene	0	0	0	1593:1596
34421865	005	CCR7	gene	0	0	0	1603:1606
34358313	001	helminth parasite infections	phenotype	0	0	0	13:40
34339137	001	purulent lesions	phenotype	0	0	0	79:94
34339137	002	osteomyelitis	phenotype	0	0	0	215:227
34339137	003	hepatic fibriscess	phenotype	0	0	0	258:275
34339137	004	inflammatory cell inflammation	phenotype	0	0	0	779:808
34330207	001	Calcium signaling	phenotype	0	0	0	946:962
34330207	002	IFNAR1	gene	0	0	0	1254:1259
34330207	003	TLR5	gene	0	0	0	1265:1268
34323380	001	viral infection	phenotype	0	0	0	840:854
34323380	002	viral excretion	phenotype	0	0	0	857:871
34198498	001	ileum injury	phenotype	0	0	0	216:227
34198498	002	body weight	phenotype	0	0	0	461:471
34198498	003	ileum damage	phenotype	0	0	0	574:585
34142323	001	transmembrane pattern recognition receptors	gene	0	0	0	36:78
34142323	002	velogenic Newcastle disease	phenotype	0	0	0	595:621
34142323	003	viral infection	phenotype	0	0	0	1619:1633,2066:2080
34142323	004	NDV infection	phenotype	0	0	0	1716:1728
34116495	001	glutathione peroxidase	gene	0	0	0	367:388
34116495	002	cooking loss	phenotype	0	0	0	588:599
34116495	003	volatile compounds concentration	phenotype	0	0	0	605:636
34076170	001	turkeys Meleagris gallopavo and grey francolin Francolinus pondicerinus	phenotype	0	0	0	211:281
34076170	002	egg weight	phenotype	0	0	0	500:509
34076170	003	egg length	phenotype	0	0	0	512:521,635:644
34076170	004	higher egg weight	phenotype	0	0	0	616:632
34076170	005	egg density	phenotype	0	0	0	997:1007,1115:1125
34031452	001	detecting disease outbreaks	phenotype	0	0	0	256:282
34031452	002	body temperature	phenotype	0	0	0	572:587
34031452	003	heart rate	phenotype	0	0	0	590:599
34020141	001	zinc finger antiviral protein	gene	0	0	0	49:77
34020141	002	) polymerase	gene	0	0	0	298:309
34020141	003	transcription factors IRF1	gene	0	0	0	508:533
34020141	004	IFN	gene	0	0	0	567:569,693:695,812:814
33997340	001	gastrointestinal tract	phenotype	0	0	0	269:290
33997340	002	gastrointestinal tract weight	phenotype	0	0	0	637:665
33997340	003	liver weight	phenotype	0	0	0	1075:1086
33919914	001	DBP	gene	0	0	0	123:125,830:832,1017:1019
33919914	002	OPN4	gene	0	0	0	234:237,777:780,1268:1271
33919914	003	OPN5	gene	0	0	0	243:246,791:794
33898795	001	cercarial dermatitis	phenotype	0	0	0	81:100
33849442	001	PNPLA8	gene	0	0	0	1519:1524
33849442	002	THAP5	gene	0	0	0	1527:1531
33849442	003	DNAJB9	gene	0	0	0	1538:1543
33849442	004	ADCYAP1R1	gene	0	0	0	1805:1813
33849442	005	PDC	gene	0	0	0	1819:1821
33849442	006	IGF1R	gene	0	0	0	1910:1914
33849442	007	cell growth	phenotype	0	0	0	1891:1901
33834927	001	Chlamydia psittaci infection	phenotype	0	0	0	37:64
33834927	002	shedding dynamics of C. psittaci	phenotype	0	0	0	67:98
33834927	003	bacterial shedding	phenotype	0	0	0	1524:1541
33834927	004	duck feeding	phenotype	0	0	0	1994:2005
33827194	001	Respiratory depression	phenotype	0	0	0	1:22
33827194	002	anesthetic concentration	phenotype	0	0	0	476:499
33827194	003	apnea	phenotype	0	0	0	689:693,715:719,689:693,715:719,784:788,1129:1133
33827194	004	Heart rate	phenotype	0	0	0	803:812
33827194	005	systolic arterial pressure	phenotype	0	0	0	815:840
33827194	006	respiratory rate	phenotype	0	0	0	843:858
33736731	001	intestinal parasites	phenotype	0	0	0	357:376
33736731	002	cytochrome c oxidase	gene	0	0	0	1434:1453
33686142	001	clutch initiation dates	phenotype	0	0	0	469:491
33686142	002	spring temperature	phenotype	0	0	0	1161:1178
33677537	001	body size	phenotype	0	0	0	1268:1276
33669581	001	muscle development	phenotype	0	0	0	313:330
33669581	002	transcription start	gene	0	0	0	1336:1354
33669581	003	breast muscle	phenotype	0	0	0	1564:1576,1684:1696
33669581	004	CREBL2	gene	0	0	0	1884:1889
33669581	005	RHEB	gene	0	0	0	1892:1895
33669581	006	GDF6	gene	0	0	0	1898:1901
33669581	007	SHISA2	gene	0	0	0	1904:1909
33669581	008	MYLK2	gene	0	0	0	1912:1916
33669581	009	ACTN3	gene	0	0	0	1919:1923
33669581	00A	RYR3	gene	0	0	0	1926:1929
33669581	00B	STMN1	gene	0	0	0	1936:1940
33669581	00C	duck skeletal muscle	phenotype	0	0	0	2339:2358
33525657	001	prion protein	gene	0	0	0	12:24,59:71,12:24,59:71
33525657	002	prion disease	phenotype	0	0	0	90:102,114:126,224:236,393:405
33525657	003	prion diseases	phenotype	0	0	0	224:237
33525657	004	prion protein gene	gene	0	0	0	441:458
33525657	005	PRNP	gene	0	0	0	461:464,566:569,1053:1056,1588:1591
33525657	006	MEGA X	gene	0	0	0	805:810
33477842	001	sepsis	phenotype	0	0	0	154:159
33472667	001	hemorrhagic spots	phenotype	0	0	0	106:122
33472667	002	necrotic foci of the livers and spleens	phenotype	0	0	0	128:166
33472667	003	box helicase 1	gene	0	0	0	174:187
33472667	004	DDX1	gene	0	0	0	190:193,297:300,305:308,1415:1418,1500:1503
33472667	005	viral infection	phenotype	0	0	0	254:268
33472667	006	RNA virus infection	phenotype	0	0	0	319:337
33472667	007	NDRV infection	phenotype	0	0	0	363:376,1526:1539
33472667	008	transcription factors IRF	gene	0	0	0	891:915
33472667	009	IFN	gene	0	0	0	945:947
33472667	00A	TLR2	gene	0	0	0	1013:1016
33472667	00B	TLR3	gene	0	0	0	1019:1022
33472667	00C	TLR4	gene	0	0	0	1029:1032
33472667	00D	duck virus infection	phenotype	0	0	0	1600:1619
33433322	001	Cercarial dermatitis	phenotype	0	0	0	204:223
33433322	002	cercarial dermatitis	phenotype	0	0	0	1092:1111
33372351	001	ABCG2	gene	0	0	0	619:623,805:809,1162:1166
33361418	001	wildlife infectious disease	phenotype	0	0	0	107:133
33361418	002	Influenza A	phenotype	0	0	0	145:155
33215508	001	like receptor ( TLR	gene	0	0	0	
33215508	002	host defence	phenotype	0	0	0	257:268
33215508	003	viral infection	phenotype	0	0	0	278:292
33215508	004	TLR3	gene	0	0	0	390:393,521:524,661:664,762:765,887:890,1139:1142,1220:1223,1381:1384
33215508	005	breast muscle	phenotype	0	0	0	992:1004
33215508	006	IFN	gene	0	0	0	1269:1271
33215508	007	IRF7	gene	0	0	0	1279:1282
33215508	008	STAT1	gene	0	0	0	1295:1299
33215508	009	STAT2	gene	0	0	0	1305:1309
33215508	00A	bacterial infections	phenotype	0	0	0	1441:1460
33207803	001	influenza A	phenotype	0	0	0	34:44
33207803	002	IA viral	phenotype	0	0	0	963:970
33207803	003	AI RNA	gene	0	0	0	1938:1943
33207803	004	IAV infection	phenotype	0	0	0	2658:2670
33193588	001	Canis lupus familiaris	phenotype	0	0	0	488:509
33167978	001	acid receptors	gene	0	0	0	356:369
33167978	002	LPAIV infection	phenotype	0	0	0	1956:1970
33117797	001	ASIP	gene	0	0	0	252:255,2147:2150,2209:2212
33117797	002	agouti signal protein	gene	0	0	0	258:278
33117797	003	melanin deposition	phenotype	0	0	0	665:682
33117797	004	embryonic white	phenotype	0	0	0	1441:1455
33117797	005	TYR	gene	0	0	0	1604:1606,1609:1611,2159:2161,2168:2170
33117797	006	TYRP1	gene	0	0	0	1609:1613,2168:2172
33117797	007	MLANA	gene	0	0	0	1616:1620
33117797	008	RAB38	gene	0	0	0	1623:1627
33117797	009	OCA2	gene	0	0	0	1630:1633
33117797	00A	TSPAN10	gene	0	0	0	1636:1642
33117797	00B	MC1R	gene	0	0	0	1645:1648,2153:2156
33117797	00C	MSLN	gene	0	0	0	1655:1658
33117797	00D	dorsoventral plumage	phenotype	0	0	0	1822:1841
33053451	001	TMUV infection	phenotype	0	0	0	1558:1571
33046566	001	ventilation frequency	phenotype	0	0	0	1581:1601
33046566	002	systemic development	phenotype	0	0	0	1892:1911
33005675	001	gastrointestinal parasites	phenotype	0	0	0	204:229
33005675	002	Syngamus trachea	phenotype	0	0	0	1088:1103
32989837	001	sperm concentration	phenotype	0	0	0	378:396
32956594	001	WNT3A	gene	0	0	0	682:686
32956594	002	NOTCH1	gene	0	0	0	689:694
32956594	003	SHH	gene	0	0	0	697:699
32956594	004	BMP2	gene	0	0	0	702:705
32956594	005	NOG	gene	0	0	0	708:710
32956594	006	SMAD3	gene	0	0	0	713:717
32920930	001	TRPV1	gene	0	0	0	670:674
32920930	002	TRPV2	gene	0	0	0	677:681,1160:1164
32920930	003	TRPV3	gene	0	0	0	684:688,916:920,1170:1174
32920930	004	TRPV4	gene	0	0	0	691:695,926:930
32920930	005	TRPV5	gene	0	0	0	736:740,1000:1004
32920930	006	TRPV6	gene	0	0	0	746:750
32609043	001	TLR7	gene	0	0	0	128:131,277:280,412:415,420:423,719:722,750:753,1219:1222
32609043	002	IFN	gene	0	0	0	1110:1112
32609043	003	IRF7	gene	0	0	0	1131:1134
32609043	004	STAT1	gene	0	0	0	1147:1151
32609043	005	STAT2	gene	0	0	0	1157:1161
32608095	001	renal ischaemia	phenotype	0	0	0	397:411
32603233	001	gland weight	phenotype	0	0	0	575:586
32366736	001	Retinoic acid	gene	0	0	0	213:225
32366736	002	IFN	gene	0	0	0	1134:1136
32366736	003	IRF7	gene	0	0	0	1141:1144
32366736	004	STAT1	gene	0	0	0	1157:1161
32366736	005	STAT2	gene	0	0	0	1167:1171
32333043	001	platyrhynchos in the wetland National Park Boujagh	phenotype	0	0	0	352:401
32184998	001	hens breeding	phenotype	0	0	0	432:444
32180490	001	Specificity Protein 3	gene	0	0	0	1:21
32180490	002	SP3	gene	0	0	0	24:26,173:175,180:182,494:496,1233:1235
32180490	003	bp open reading frame	phenotype	0	0	0	399:419
32180490	004	viral infections	phenotype	0	0	0	1290:1305
32088756	001	narrow host	phenotype	0	0	0	790:800
32076524	001	greater survival	phenotype	0	0	0	1320:1335
31969057	001	clinical disease	phenotype	0	0	0	728:743
31952469	001	fatty acid accumulation	phenotype	0	0	0	158:180,280:302,1695:1717
31952469	002	breast muscle	phenotype	0	0	0	452:464,1901:1913
31952469	003	fatty acids	phenotype	0	0	0	565:575,826:836,565:575,826:836,1607:1617
31952469	004	duck breast muscle	phenotype	0	0	0	594:611
31952469	005	fatty acid	phenotype	0	0	0	1869:1878,1952:1961
31895644	001	Australapatemon minor	phenotype	0	0	0	1365:1385
31872482	001	wild black ducks	phenotype	0	0	0	2126:2141
31779284	001	flaccid paralysis	phenotype	0	0	0	1062:1078
31770824	001	MAA antigen	gene	0	0	0	994:1004
31770824	002	duodenal glands	phenotype	0	0	0	1179:1193
31741265	001	hepatic steatosis	phenotype	0	0	0	39:55,1391:1407
31741265	002	glucose metabolism	phenotype	0	0	0	163:180,1111:1128,1442:1459
31741265	003	fatty liver	phenotype	0	0	0	206:216
31741265	004	glucose transporters	gene	0	0	0	616:635
31662999	001	transcription factor	gene	0	0	0	27:46
31662999	002	MITF	gene	0	0	0	49:52,173:176,344:347,487:490,518:521,487:490,518:521,606:609,742:745,1146:1149,1296:1299,1595:1598
31662999	003	white feather bulbs	phenotype	0	0	0	542:560,855:873
31662999	004	White feather bulbs	phenotype	0	0	0	1010:1028
31605424	001	HPAIV infection	phenotype	0	0	0	705:719,895:909
31556839	001	HP	gene	0	0	0	33:34,110:111,237:238,423:424,559:560,845:846,1027:1028,1161:1162,1027:1028,1161:1162,1560:1561
31556839	002	LP H5 antigen	gene	0	0	0	1074:1086
31549541	001	rice breast disease	phenotype	0	0	0	498:516
31509442	001	fatty acid binding protein	gene	0	0	0	14:39
31509442	002	fatty acid uptake	phenotype	0	0	0	70:86
31509442	003	liver weight	phenotype	0	0	0	1326:1337
31509442	004	body weight	phenotype	0	0	0	1358:1368
31474416	001	reverse transcriptase	gene	0	0	0	136:156
31474416	002	CR1	gene	0	0	0	690:692
31441617	001	TAT	gene	0	0	0	286:287,591:592,806:807,832:833,806:807,832:833,920:921,975:976
31356812	001	5 receptor	gene	0	0	0	18:27
31356812	002	MC5R	gene	0	0	0	30:33,256:259,484:487,525:528,559:562,602:605,640:643,703:706,1813:1816,1851:1854
31356812	003	lipid production	phenotype	0	0	0	124:139
31331531	001	embryonic mortality	phenotype	0	0	0	342:360,412:430
31331531	002	egg size	phenotype	0	0	0	603:610
31331531	003	male embryonic	phenotype	0	0	0	980:993
31310637	001	body type	phenotype	0	0	0	430:438,1589:1597
31310637	002	body mass	phenotype	0	0	0	501:509
31310637	003	group size	phenotype	0	0	0	516:525,705:714,1473:1482,1680:1689
31269347	001	histocompatibility complex class I	gene	0	0	0	45:78
31251524	001	ataxia	phenotype	0	0	0	1180:1185,1345:1350
31237879	001	CYP1B1 CYP19A1	gene	0	0	0	1002:1015
31077316	001	short reads	phenotype	0	0	0	1100:1110
31049835	001	intestinal injury	phenotype	0	0	0	307:323,2901:2917
31049835	002	duodenal libraries	phenotype	0	0	0	1870:1887
31049835	003	jejunal libraries	phenotype	0	0	0	1916:1932
31049835	004	lean reads	phenotype	0	0	0	1856:1865,1902:1911,1950:1959
31049835	005	ileal libraries	phenotype	0	0	0	1964:1978
31046421	001	Tumour necrosis factor receptor	gene	0	0	0	4:34
31046421	002	factor 3	gene	0	0	0	47:54
31046421	003	TRAF3	gene	0	0	0	57:61,192:196,201:205,260:264,192:196,201:205,260:264,951:955,1272:1276
31046421	004	interferon ( IFN	gene	0	0	0	
31046421	005	IFN	gene	0	0	0	961:963
31046421	006	peripheral blood mononuclear cells	phenotype	0	0	0	888:921
31016183	001	SERPINA1	gene	0	0	0	1:8,182:189,1237:1244,1378:1385
31016183	002	serine protease	gene	0	0	0	25:39
31016183	003	viral infection	phenotype	0	0	0	222:236
31016183	004	du SERPINA1	gene	0	0	0	610:620,732:742,1077:1087
30993577	001	breast muscle	phenotype	0	0	0	441:453
30986433	001	IFN	gene	0	0	0	833:835
30986433	002	duck plague virus infections	phenotype	0	0	0	1349:1376
30968708	001	TNNI1	gene	0	0	0	41:45,241:245,337:341,630:634,690:694,1597:1601,1730:1734
30968708	002	transcription factor	gene	0	0	0	1438:1457
30968708	003	Sp1	gene	0	0	0	1483:1485
30968708	004	Myc	gene	0	0	0	1490:1492
30961809	001	duck amyloidosis	phenotype	0	0	0	63:78
30961809	002	amyloidosis	phenotype	0	0	0	231:241,770:780,789:799
30961809	003	TNF	gene	0	0	0	359:361,862:864
30961809	004	SAA2	gene	0	0	0	373:376,876:879
30961809	005	amyloid proteins	gene	0	0	0	556:571
30961809	006	AA amyloidosis	phenotype	0	0	0	786:799
30961809	007	secondary amyloidosis	phenotype	0	0	0	960:980
30941418	001	embryonic development	phenotype	0	0	0	203:223,679:699,1138:1158
30845667	001	gastrointestinal parasites	phenotype	0	0	0	704:729
30845667	002	parasitic diseases	phenotype	0	0	0	1271:1288
30794961	001	breast muscle oxidative damage	phenotype	0	0	0	540:569
30794961	002	oxidative damage	phenotype	0	0	0	1126:1141,1494:1509
30794961	003	oxidative stress	phenotype	0	0	0	1381:1396
30701142	001	SE infection	phenotype	0	0	0	347:358,917:928,2061:2072
30701142	002	tissue lesions	phenotype	0	0	0	675:688
30701142	003	bacterial shedding	phenotype	0	0	0	795:812
30701142	004	CD4	gene	0	0	0	1210:1212
30701142	005	TLR2	gene	0	0	0	1455:1458,1476:1479
30701142	006	TLR4	gene	0	0	0	1461:1464
30701142	007	NOD1	gene	0	0	0	1504:1507
30701142	008	NLRX1	gene	0	0	0	1510:1514
30701142	009	NLRP12	gene	0	0	0	1517:1522
30701142	00A	IFN	gene	0	0	0	1609:1611
30701142	00B	TLR3	gene	0	0	0	1721:1724
30701142	00C	TLR7	gene	0	0	0	1727:1730
30701142	00D	NLRC3	gene	0	0	0	1733:1737
30701142	00E	NLRC5	gene	0	0	0	1740:1744
30701142	00F	TNF	gene	0	0	0	1751:1753
30701142	00G	egg production	phenotype	0	0	0	1851:1864
30634898	001	influenza A virus infections	phenotype	0	0	0	423:450
30634898	002	A virus	phenotype	0	0	0	1411:1417
30634898	003	influenza A virus infection	phenotype	0	0	0	1697:1723
30624718	001	heme oxygenase 1	gene	0	0	0	399:414
30624718	002	HMOX1	gene	0	0	0	417:421,640:644
30624718	003	duck shell gland	phenotype	0	0	0	427:442
30624718	004	5 - aminolevulinate synthase 1	gene	0	0	0	
30624718	005	nuclear factor	gene	0	0	0	915:928
30624718	006	period circadian clock 2	gene	0	0	0	954:977
30624718	007	shell gland	phenotype	0	0	0	1041:1051
30624718	008	solute carrier family 13 member 5	gene	0	0	0	1125:1157
30624718	009	formation of blue egg	phenotype	0	0	0	1183:1203,1397:1417
30624718	00A	ALAS1	gene	0	0	0	1364:1368
30595026	001	white plumage	phenotype	0	0	0	44:56
30595026	002	Associated Transcription Factor	gene	0	0	0	399:429
30595026	003	MITF	gene	0	0	0	432:435,559:562,733:736
30425731	001	genetic diseases	phenotype	0	0	0	57:72
30425731	002	energy metabolism	phenotype	0	0	0	1620:1636
30382421	001	embryonic development	phenotype	0	0	0	565:585
30381731	001	expressed antimicrobial peptide 2	gene	0	0	0	60:92
32175449	001	heat stress	phenotype	0	0	0	33:43,729:739,806:816,884:894,729:739,806:816,884:894,729:739,806:816,884:894,2534:2544
32175449	002	lower blood homeostasis	phenotype	0	0	0	79:101
32175449	003	stress hormones	phenotype	0	0	0	300:314
32175449	004	aspartate aminotransferase	gene	0	0	0	1246:1271
32175449	005	alanine aminotransferase	gene	0	0	0	1284:1307
32175449	006	HCO 3	gene	0	0	0	1899:1903
32175449	007	T	gene	0	0	0	1911:1911
32175449	008	PO 2	gene	0	0	0	2040:2043
30349536	001	pyrin domain containing 3	gene	0	0	0	67:91
30349536	002	NLRP3	gene	0	0	0	94:98,938:942,1003:1007
30349536	003	host innate immunity	phenotype	0	0	0	155:174
30349536	004	TNF	gene	0	0	0	1199:1201,1723:1725
30349536	005	APEC infection	phenotype	0	0	0	1243:1256
30349536	006	coli infection	phenotype	0	0	0	1551:1564,1875:1888
30349536	007	inflammatory response	phenotype	0	0	0	1990:2010
30337766	001	AIV infection	phenotype	0	0	0	378:390,978:990,1223:1235,1385:1397,1223:1235,1385:1397
30337766	002	susceptibility to infection	phenotype	0	0	0	747:773
30337766	003	influenza virus infection	phenotype	0	0	0	1806:1830
30311520	001	swelling	phenotype	0	0	0	142:149
30311520	002	traumatic injury to the upper	phenotype	0	0	0	181:209
30311520	003	left eye	phenotype	0	0	0	395:402
30311520	004	cyst redeveloped	phenotype	0	0	0	1009:1024
30311520	005	cyst formation	phenotype	0	0	0	1369:1382
30311520	006	adnexal injury	phenotype	0	0	0	1390:1403
30311520	007	intraorbital cysts	phenotype	0	0	0	1745:1762
30305481	001	transmembrane and immunoglobulin domain containing 1	gene	0	0	0	146:197
30300504	001	type I polyketide synthases	gene	0	0	0	11:37
30300504	002	acyl carrier protein	gene	0	0	0	257:276
30300504	003	fatty acid synthases	phenotype	0	0	0	1001:1020
30291502	001	cutaneous lesions	phenotype	0	0	0	79:95
30187087	001	histocompatibility complex class I	gene	0	0	0	7:40
30173341	001	digenean spermatozoa type	phenotype	0	0	0	580:604
30159217	001	cell proliferation	phenotype	0	0	0	115:132
30159217	002	vascular inhibition	phenotype	0	0	0	909:927,1137:1155
30159217	003	vascular damage	phenotype	0	0	0	986:1000
30118893	001	Blood serum	phenotype	0	0	0	719:729
30053696	001	type II and III	phenotype	0	0	0	734:748
30038859	001	Smew Mergellus albellus and Goosander Mergus merganser	phenotype	0	0	0	613:666
30038859	002	Great Crested Grebe Podiceps cristatus and Eurasian Coot Fulica atra	phenotype	0	0	0	886:953
30038859	003	Eurasian Teal Anas crecca and Garganey Spatula querquedula	phenotype	0	0	0	1149:1206
29981515	001	death of	phenotype	0	0	0	202:209
29981515	002	infection intensity	phenotype	0	0	0	585:603,1019:1037
29981515	003	Intestinal helminths	phenotype	0	0	0	739:758
29971756	001	duck spleen	phenotype	0	0	0	125:135,1239:1249
29971756	002	periellipsoidal lymphatic sheaths	phenotype	0	0	0	561:593
29971756	003	periarteriolar lymphatic sheaths	phenotype	0	0	0	631:662
29971756	004	splenic nodules	phenotype	0	0	0	675:689
29948159	001	heart rate	phenotype	0	0	0	222:231,764:773,851:860,1018:1027
29948159	002	blood pressure	phenotype	0	0	0	237:250
29948159	003	stage embryonic	phenotype	0	0	0	306:320
29948159	004	arterial blood pressure	phenotype	0	0	0	1085:1107,1157:1179
29948159	005	cardiovascular regulation	phenotype	0	0	0	1389:1413
29945164	001	primer extension	phenotype	0	0	0	69:84
29904657	001	LPAI infection	phenotype	0	0	0	462:475
29773616	001	acute septicemia	phenotype	0	0	0	129:144
29771917	001	transcription factors	gene	0	0	0	117:137
29771917	002	peroxisome proliferator activated receptor gamma	gene	0	0	0	897:944
29771917	003	enhancer binding protein	gene	0	0	0	965:988
29771917	004	adipocyte fatty acid binding protein 4	gene	0	0	0	1010:1047
29771917	005	FABP4	gene	0	0	0	1050:1054
