species	gene_id	gene_name	gene	trait_ontology	trait	sentence	pubmed_id	relevant	irrelevant	sentence_id
Anas platyrhynchos	ENSAPLG00020005931	Serine/threonine-protein kinase Nek7	NEK7	-	liver function	Results signified that Cd or/and Mo caused trace element imbalance, liver function and histomorphological abnormalities in the duck liver, and activated the PTEN/PI3K/AKT pathway through increasing PTEN mRNA and protein levels, reducing PI3K, AKT mRNA and p-AKT/AKT protein levels, which triggered pyroptosis and apoptosis via increasing Caspase-1, NLRP3, NEK7, ASC, GSDME, GSDMA, IL-1beta and IL-18 mRNA levels, Caspase-1 p20, NLRP3, ASC and GSDMD protein levels, and IL-1beta and IL-18 contents, and increasing Bak-1, Bax, Cyt C and Caspase-3 mRNA levels and cleaved Caspase-3/Caspase-3 protein level, and downregulating Bcl-2 mRNA level and the ratio of Bcl-2 to Bax, respectively.	35112695	0	0	APL35112695002
Anas platyrhynchos	ENSAPLG00020005931	Serine/threonine-protein kinase Nek7	NEK7	-	histomorphological abnormalities in the duck liver	Results signified that Cd or/and Mo caused trace element imbalance, liver function and histomorphological abnormalities in the duck liver, and activated the PTEN/PI3K/AKT pathway through increasing PTEN mRNA and protein levels, reducing PI3K, AKT mRNA and p-AKT/AKT protein levels, which triggered pyroptosis and apoptosis via increasing Caspase-1, NLRP3, NEK7, ASC, GSDME, GSDMA, IL-1beta and IL-18 mRNA levels, Caspase-1 p20, NLRP3, ASC and GSDMD protein levels, and IL-1beta and IL-18 contents, and increasing Bak-1, Bax, Cyt C and Caspase-3 mRNA levels and cleaved Caspase-3/Caspase-3 protein level, and downregulating Bcl-2 mRNA level and the ratio of Bcl-2 to Bax, respectively.	35112695	0	0	APL35112695002
Anas platyrhynchos	ENSAPLG00020005089	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN	PTEN	-	Mo	Overall, the results illustrate that pyroptosis and apoptosis induced by Cd or/and Mo may be associated with activating the PTEN/PI3K/AKT pathway in the livers of ducks.	35112695	0	0	APL35112695003
Anas platyrhynchos	ENSAPLG00020017051	Toll-like receptor 4 Precursor	TLR4	-	Anas platyrhynchos	Effects of Dietary Resveratrol Supplementation on Growth Performance and Anti-Inflammatory Ability in Ducks (Anas platyrhynchos) through the Nrf2/HO-1 and TLR4/NF-kappaB Signaling Pathways.	34944363	0	0	APL34944363001
Anas platyrhynchos	ENSAPLG00020017051	Toll-like receptor 4 Precursor	TLR4	-	growth performance	Dietary resveratrol can improve growth performance and reduce inflammation through the Nrf2/HO-1 and TLR4/NF-kappaB signaling pathways in duck.	34944363	0	0	APL34944363003
Anas platyrhynchos	ENSAPLG00020003323	Amiloride-sensitive sodium channel subunit beta Beta-NaCH Epithelial Na(+) channel subunit beta	SCNN1B	-	Anas platyrhynchos	Genetic variants in SCNN1B and AHCYL1 are associated with eggshell quality in Chinese domestic laying ducks (Anas platyrhynchos).	34923880	0	0	APL34923880001
Anas platyrhynchos	ENSAPLG00020003323	Amiloride-sensitive sodium channel subunit beta Beta-NaCH Epithelial Na(+) channel subunit beta	SCNN1B	-	eggshell strength	The mRNA expression levels of uterine SCNN1B and AHCYL1 genes were positively correlated with eggshell strength (ESS), percentage (ESP) and weight (ESW) (P<0.05), respectively.	34923880	0	0	APL34923880002
Anas platyrhynchos	ENSAPLG00020007551	OCLN	Occludin	-	intestinal dysfunction	Dietary resveratrol alleviated LPS-induced intestinal dysfunction and the increase of intestinal permeability by linearly increasing mRNA levels of tight junction protein genes (Claudin-1, Occludin-1, ZO-1) (p < 0.05) and protein expression of Claudin-1 (p < 0.01).	34729831	0	0	APL34729831001
Anas platyrhynchos	ENSAPLG00020014265	COUP transcription factor 2	NR2F2	-	adipose deposition	Furthermore, a mutant cell line allows confirmation of the predicted anti-adipogenic function of NR2F2 in the duck, and uncovered mutations specific to Pekin duck that potentially affect adipose deposition.	34635656	0	0	APL34635656001
Anas platyrhynchos	ENSAPLG00020002386	Interleukin-15	IL15	-	SE infection	Furthermore, an intracellular network associated with the regulation of SE infection in ducks was constructed, and 16 cytokine response-related dGCs DEGs (including IL15, CD40, and CCR7) and 17 pathogenesis-related factors (including sseL, ompR, and fliC) were identified, respectively.	34421865	0	0	APL34421865001
Anas platyrhynchos	ENSAPLG00020008420	Tumor necrosis factor receptor superfamily member 5 B-cell surface antigen CD40 CD40L receptor Precursor	CD40	-	SE infection	Furthermore, an intracellular network associated with the regulation of SE infection in ducks was constructed, and 16 cytokine response-related dGCs DEGs (including IL15, CD40, and CCR7) and 17 pathogenesis-related factors (including sseL, ompR, and fliC) were identified, respectively.	34421865	0	0	APL34421865001
Anas platyrhynchos	ENSAPLG00020018134	C-C chemokine receptor type 7	CCR7	-	SE infection	Furthermore, an intracellular network associated with the regulation of SE infection in ducks was constructed, and 16 cytokine response-related dGCs DEGs (including IL15, CD40, and CCR7) and 17 pathogenesis-related factors (including sseL, ompR, and fliC) were identified, respectively.	34421865	0	0	APL34421865001
Anas platyrhynchos	ENSAPLG00020002507	Pituitary adenylate cyclase-activating polypeptide type I receptor	ADCYAP1R1	-	cell growth	Finally, we detected strong signatures of selection in genes that are involved in signaling pathways of the nervous system development (e.g., ADCYAP1R1 and PDC) and in genes that are associated with morphological traits such as cell growth (e.g., IGF1R).	33849442	0	0	APL33849442001
Anas platyrhynchos	ENSAPLG00020014273	Insulin-like growth factor 1 receptor	IGF1R	-	cell growth	Finally, we detected strong signatures of selection in genes that are involved in signaling pathways of the nervous system development (e.g., ADCYAP1R1 and PDC) and in genes that are associated with morphological traits such as cell growth (e.g., IGF1R).	33849442	0	0	APL33849442001
Anas platyrhynchos	ENSAPLG00020001475	ATP-dependent RNA helicase DDX1	DDX1	-	viral infection	DEAD-box helicase 1 (DDX1) plays a critical role in the innate immune system against viral infection.	33472667	0	0	APL33472667001
Anas platyrhynchos	ENSAPLG00020001475	ATP-dependent RNA helicase DDX1	DDX1	-	RNA virus infection	However, the role of duck DDX1 (duDDX1) in anti-RNA virus infection, especially in the anti-NDRV infection, has yet to be elucidated.	33472667	0	0	APL33472667002
Anas platyrhynchos	ENSAPLG00020001475	ATP-dependent RNA helicase DDX1	DDX1	-	NDRV infection	However, the role of duck DDX1 (duDDX1) in anti-RNA virus infection, especially in the anti-NDRV infection, has yet to be elucidated.	33472667	0	0	APL33472667002
Anas platyrhynchos	ENSAPLG00020001475	ATP-dependent RNA helicase DDX1	DDX1	-	NDRV infection	Secondly, we proved that duck DDX1 participates in anti-NDRV infection, and innovated new ideas for the prevention and control of duck virus infection.	33472667	0	0	APL33472667003
Anas platyrhynchos	ENSAPLG00020001475	ATP-dependent RNA helicase DDX1	DDX1	-	duck virus infection	Secondly, we proved that duck DDX1 participates in anti-NDRV infection, and innovated new ideas for the prevention and control of duck virus infection.	33472667	0	0	APL33472667003
Anas platyrhynchos	ENSAPLG00020005038	ATP-binding cassette sub-family G member 2 Brain multidrug resistance protein Urate exporter	ABCG2	-	mallard egg colour	A single nucleotide polymorphism variant located in the cis-regulatory region of the ABCG2 gene is associated with mallard egg colour.	33372351	0	0	APL33372351001
Anas platyrhynchos	ENSAPLG00020007205	Toll-like receptor 3 Precursor	TLR3	-	breast muscle	Quantitative real-time PCR (qRT-PCR) analysis suggested that TLR3 mRNA was constitutively expressed in all tissues tested, having higher levels in the kidney, liver, breast muscle, ovary and heart.	33215508	0	0	APL33215508002
Anas platyrhynchos	ENSAPLG00020007205	Toll-like receptor 3 Precursor	TLR3	-	bacterial infections	These results suggested that TLR3 play an important role in resistance against viral and bacterial infections in ducks.	33215508	0	0	APL33215508003
Anas platyrhynchos	ENSAPLG00020000191	Tyrosinase	TYR	-	dorsoventral plumage	The results showed that 8 melanogenesis related genes (TYR, TYRP1, MLANA, RAB38, OCA2, TSPAN10, MC1R, and MSLN) were the common DEGs (Differential expressed genes) in the comparisons of body parts and breeds suggesting that the underlying molecular regulatory mechanism of dorsoventral plumage color difference may be similar to that of albino and melanic duck, which were caused by the different expression of multiple genes in melanin synthesis pathway.	33117797	0	0	APL33117797001
Anas platyrhynchos	ENSAPLG00020009965	5,6-dihydroxyindole-2-carboxylic acid oxidase	TYRP1	-	dorsoventral plumage	The results showed that 8 melanogenesis related genes (TYR, TYRP1, MLANA, RAB38, OCA2, TSPAN10, MC1R, and MSLN) were the common DEGs (Differential expressed genes) in the comparisons of body parts and breeds suggesting that the underlying molecular regulatory mechanism of dorsoventral plumage color difference may be similar to that of albino and melanic duck, which were caused by the different expression of multiple genes in melanin synthesis pathway.	33117797	0	0	APL33117797001
Anas platyrhynchos	ENSAPLG00020009816	Melanoma antigen recognized by T-cells 1	MLANA	-	dorsoventral plumage	The results showed that 8 melanogenesis related genes (TYR, TYRP1, MLANA, RAB38, OCA2, TSPAN10, MC1R, and MSLN) were the common DEGs (Differential expressed genes) in the comparisons of body parts and breeds suggesting that the underlying molecular regulatory mechanism of dorsoventral plumage color difference may be similar to that of albino and melanic duck, which were caused by the different expression of multiple genes in melanin synthesis pathway.	33117797	0	0	APL33117797001
Anas platyrhynchos	ENSAPLG00020001393	P protein Melanocyte-specific transporter protein Pink-eyed dilution protein homolog	OCA2	-	dorsoventral plumage	The results showed that 8 melanogenesis related genes (TYR, TYRP1, MLANA, RAB38, OCA2, TSPAN10, MC1R, and MSLN) were the common DEGs (Differential expressed genes) in the comparisons of body parts and breeds suggesting that the underlying molecular regulatory mechanism of dorsoventral plumage color difference may be similar to that of albino and melanic duck, which were caused by the different expression of multiple genes in melanin synthesis pathway.	33117797	0	0	APL33117797001
Anas platyrhynchos	ENSAPLG00020007600	Melanocyte-stimulating hormone receptor	MC1R	-	dorsoventral plumage	The results showed that 8 melanogenesis related genes (TYR, TYRP1, MLANA, RAB38, OCA2, TSPAN10, MC1R, and MSLN) were the common DEGs (Differential expressed genes) in the comparisons of body parts and breeds suggesting that the underlying molecular regulatory mechanism of dorsoventral plumage color difference may be similar to that of albino and melanic duck, which were caused by the different expression of multiple genes in melanin synthesis pathway.	33117797	0	0	APL33117797001
Anas platyrhynchos	ENSAPLG00020005763	Transcription factor Sp3	SP3	-	bp open reading frame	It contained 2468 nucleotides, including a 111 base pair (bp) 5'-untranslated region (UTR), 215 bp 3'-UTR, and 2142 bp open reading frame (ORF), which encoded a 713 amino acid (AA) strongly conserved with Avian SP3.	32180490	0	0	APL32180490001
Anas platyrhynchos	ENSAPLG00020005763	Transcription factor Sp3	SP3	-	viral infections	These results suggested that SP3 may play a positive role in immune responses against viral infections in ducks.	32180490	0	0	APL32180490002
Anas platyrhynchos	ENSAPLG00020014113	Microphthalmia-associated transcription factor Class E basic helix-loop-helix protein 32	MITF	-	white feather bulbs	No expression of the MITF melanin-specific isoform (MITF-M) was detected in white feather bulbs.	31662999	0	0	APL31662999001
Anas platyrhynchos	ENSAPLG00020014113	Microphthalmia-associated transcription factor Class E basic helix-loop-helix protein 32	MITF	-	white feather bulbs	No expression of the MITF melanin-specific isoform (MITF-M) was detected in white feather bulbs.	31662999	0	0	APL31662999001
Anas platyrhynchos	ENSAPLG00020018289	Interferon Precursor	IFN	-	peripheral blood mononuclear cells	Following resiquimod (R848) and poly(I:C) stimulation of duck peripheral blood mononuclear cells (PBMCs), the expressions of TRAF3 and IFN-beta were significantly upregulated; in addition, following R848 stimulation, the mRNA levels of IL-6, IL-8 and IL-10 were also significantly upregulated.	31046421	0	0	APL31046421001
Anas platyrhynchos	ENSAPLG00020007144	Alpha-1-antiproteinase Alpha-1-antitrypsin Alpha-1-proteinase inhibitor Serpin A1 Precursor	SERPINA1	-	viral infection	However, the expression and function of SERPINA1 gene in immune defense against viral infection remain unknown in ducks.	31016183	0	0	APL31016183001
Anas platyrhynchos	ENSAPLG00020015611	Troponin I, slow skeletal muscle Troponin I, slow-twitch isoform	TNNI1	-	Gaoyou duck skeletal muscle	Transcriptional regulatory region and DNA methylation analysis of TNNI1 gene promoters in Gaoyou duck skeletal muscle (Anas platyrhynchos domestica).	30968708	0	0	APL30968708001
Anas platyrhynchos	ENSAPLG00020017981	Heme oxygenase 1	HMOX1	-	duck shell gland	The current study detected the biliverdin content and localization of heme oxygenase 1 (HMOX1) in duck shell gland; moreover, RNA-seq analysis was performed in the shell gland of blue-shelled and white-shelled ducks.	30624718	0	0	APL30624718001
Anas platyrhynchos	ENSAPLG00020002092	5-aminolevulinate synthase, nonspecific, mitochondrial	ALAS1	-	formation of blue egg	In addition, ALAS1 may play a key role in the formation of blue egg in ducks.	30624718	0	0	APL30624718004
Anas platyrhynchos	ENSAPLG00020014113	Microphthalmia-associated transcription factor Class E basic helix-loop-helix protein 32	MITF	-	plumage colour pattern	The recessive C locus in the MITF gene plays a key regulatory role in the plumage colour pattern of duck (Anas platyrhynchos).	30595026	0	0	APL30595026001
Anas platyrhynchos	ENSAPLG00020018374	Peroxisome proliferator-activated receptor gamma	PPARG	-	hepatic steatosis	Some studies have shown that expression of peroxisome proliferator-activated receptor gamma (PPARG), a key regulator of adipogenesis, and of some adipocyte-specific genes or adipokines are expressed in hepatic steatosis, leading to the concept of 'adipogenic hepatic steatosis' or 'hepatic adiposis.'	29720294	0	0	APL29720294001
Anas platyrhynchos	ENSAPLG00020018374	Peroxisome proliferator-activated receptor gamma	PPARG	-	'adipogenic hepatic steatosis	Some studies have shown that expression of peroxisome proliferator-activated receptor gamma (PPARG), a key regulator of adipogenesis, and of some adipocyte-specific genes or adipokines are expressed in hepatic steatosis, leading to the concept of 'adipogenic hepatic steatosis' or 'hepatic adiposis.'	29720294	0	0	APL29720294001
Anas platyrhynchos	ENSAPLG00020018374	Peroxisome proliferator-activated receptor gamma	PPARG	-	adipose tissues	The expression of PPARG and other adipocyte-specific genes was thus analyzed in the liver of ducks fed ad libitum or overfed and compared with those observed in adipose tissues.	29720294	0	0	APL29720294002
Anas platyrhynchos	ENSAPLG00020016143	Phosphoenolpyruvate carboxykinase, cytosolic [GTP[from Swiss-Prot]	PCK1	-	glucose level	PCK1 expression is correlated with the plasma glucose level in the duck.	28198082	0	0	APL28198082001
Anas platyrhynchos	ENSAPLG00020016143	Phosphoenolpyruvate carboxykinase, cytosolic [GTP[from Swiss-Prot]	PCK1	-	Jinyun Pockmark ducks and Cherry Valley ducks	We found PCK1 expression significantly decreased in two breeds of domestic ducks (Jinyun Pockmark ducks and Cherry Valley ducks) as compared with wild ducks (Anas platyrhynchos).	28198082	0	0	APL28198082002
Anas platyrhynchos	ENSAPLG00020016143	Phosphoenolpyruvate carboxykinase, cytosolic [GTP[from Swiss-Prot]	PCK1	-	Anas platyrhynchos	We found PCK1 expression significantly decreased in two breeds of domestic ducks (Jinyun Pockmark ducks and Cherry Valley ducks) as compared with wild ducks (Anas platyrhynchos).	28198082	0	0	APL28198082002
Anas platyrhynchos	ENSAPLG00020016143	Phosphoenolpyruvate carboxykinase, cytosolic [GTP[from Swiss-Prot]	PCK1	-	glucose homeostasis	This work demonstrates for the first time in duck that PCK1 is a key gene in maintaining plasma glucose homeostasis during fasting and that the upregulated expression of PCK1 may be responsible for constant plasma free fatty acid level by the glyceroneogenesis process.	28198082	0	0	APL28198082003
Anas platyrhynchos	ENSAPLG00020016143	Phosphoenolpyruvate carboxykinase, cytosolic [GTP[from Swiss-Prot]	PCK1	-	glucose homeostasis	This work demonstrates for the first time in duck that PCK1 is a key gene in maintaining plasma glucose homeostasis during fasting and that the upregulated expression of PCK1 may be responsible for constant plasma free fatty acid level by the glyceroneogenesis process.	28198082	0	0	APL28198082003
Anas platyrhynchos	ENSAPLG00020017091	Peptidyl-prolyl cis-trans isomerase A	PPIA	-	immune system regulation	Peptidylprolyl cis/trans isomerase activity and molecular evolution of vertebrate Cyclophilin A. Peptidylprolyl isomerases (PPIase) cyclophilin A (CypA, encoded by PPIA) is a typical member of the Cyclophilin family and is involved in protein folding/translocation, signal transduction, inflammation, immune system regulation, apoptosis and virus replication.	27531612	0	0	APL27531612001
Anas platyrhynchos	ENSAPLG00020017091	Peptidyl-prolyl cis-trans isomerase A	PPIA	-	apoptosis	Peptidylprolyl cis/trans isomerase activity and molecular evolution of vertebrate Cyclophilin A. Peptidylprolyl isomerases (PPIase) cyclophilin A (CypA, encoded by PPIA) is a typical member of the Cyclophilin family and is involved in protein folding/translocation, signal transduction, inflammation, immune system regulation, apoptosis and virus replication.	27531612	0	0	APL27531612001
Anas platyrhynchos	ENSAPLG00020017091	Peptidyl-prolyl cis-trans isomerase A	PPIA	-	virus replication	Peptidylprolyl cis/trans isomerase activity and molecular evolution of vertebrate Cyclophilin A. Peptidylprolyl isomerases (PPIase) cyclophilin A (CypA, encoded by PPIA) is a typical member of the Cyclophilin family and is involved in protein folding/translocation, signal transduction, inflammation, immune system regulation, apoptosis and virus replication.	27531612	0	0	APL27531612001
Anas platyrhynchos	ENSAPLG00020001283	Pro-neuropeptide Y Neuropeptide Y Neuropeptide tyrosine	NPY	-	Anas platyrhynchos f. domestica	Distribution of cocaine- and amphetamine-regulated transcript (CART), neuropeptide Y (NPY) and galanin (GAL) in the pterygopalatine ganglion of the domestic duck (Anas platyrhynchos f. domestica).	27044589	0	0	APL27044589001
Anas platyrhynchos	ENSAPLG00020017703	Galanin peptides Galanin Galanin message-associated peptide	GAL	-	Anas platyrhynchos f. domestica	Distribution of cocaine- and amphetamine-regulated transcript (CART), neuropeptide Y (NPY) and galanin (GAL) in the pterygopalatine ganglion of the domestic duck (Anas platyrhynchos f. domestica).	27044589	0	0	APL27044589001
Anas platyrhynchos	ENSAPLG00020001283	Pro-neuropeptide Y Neuropeptide Y Neuropeptide tyrosine	NPY	-	pterygopalatine ganglion	The aim of the present study was to describe the distribution of CART, NPY and GAL in the pterygopalatine ganglion (PPG) of the domestic duck (Anas platyrhynchos f. domestica).	27044589	0	0	APL27044589002
Anas platyrhynchos	ENSAPLG00020017703	Galanin peptides Galanin Galanin message-associated peptide	GAL	-	pterygopalatine ganglion	The aim of the present study was to describe the distribution of CART, NPY and GAL in the pterygopalatine ganglion (PPG) of the domestic duck (Anas platyrhynchos f. domestica).	27044589	0	0	APL27044589002
Anas platyrhynchos	ENSAPLG00020001283	Pro-neuropeptide Y Neuropeptide Y Neuropeptide tyrosine	NPY	-	lacrimal gland	CONCLUSIONS: The presence of CART, NPY, and GAL in the PPG of the domestic duck suggests that these peptides may contribute to the secretory innervation of the glands of the mucosa of the palate and nasal cavity, the Harderian gland, and the lacrimal gland.	27044589	0	0	APL27044589003
Anas platyrhynchos	ENSAPLG00020017703	Galanin peptides Galanin Galanin message-associated peptide	GAL	-	lacrimal gland	CONCLUSIONS: The presence of CART, NPY, and GAL in the PPG of the domestic duck suggests that these peptides may contribute to the secretory innervation of the glands of the mucosa of the palate and nasal cavity, the Harderian gland, and the lacrimal gland.	27044589	0	0	APL27044589003
Anas platyrhynchos	ENSAPLG00020006372	Calbindin Calbindin D28 D-28K Vitamin D-dependent calcium-binding protein, avian-type	CALB1	-	calcium transport	mRNA transcripts of calbindin 1 (CALB1), an important protein responsible for calcium transport, and the matrix protein genes ovocalyxin-32 (OCX-32) and ovocleidin-116 (OC-116) were reduced in ducks fed 0.38% calcium but not 1.8% calcium.	26385336	0	0	APL26385336001
