ID	PMID	title	author	journal	time&volume	other_info	abstract
351	25847706	Genetic admixture supports an ancient hybrid origin of the endangered Hawaiian duck.	Lavretsky P, Engilis A Jr, Eadie JM, Peters JL	J Evol Biol	 2015 May;28(5):1005-15	 doi: 101111/jeb12637 Epub 2015 Apr 29	Speciation is regarded primarily as a bifurcation from an ancestral species into two distinct taxonomic units, but gene flow can create complex signals of phylogenetic relationships, especially among different loci. We evaluated several hypotheses that could account for phylogenetic discord between mitochondrial DNA (mtDNA) and nuclear DNA (nuDNA) within Hawaiian duck (Anas wyvilliana), including stochastic lineage sorting, mtDNA capture and widespread genomic introgression. Our results best support the hypothesis that the contemporary Hawaiian duck is descended from an ancient hybridization event between the mallard (Anas platyrhynchos) and Laysan duck (Anas laysanensis). Whereas mtDNA clearly shows a sister relationship between Hawaiian duck and mallard, nuDNA is consistent with a genetic mosaic with nearly equal contributions from Laysan duck and mallard. In addition, coalescent analyses suggest that gene flow from either mallard or Laysan duck, depending on the predefined tree topology, is necessary to explain contemporary genetic diversity in Hawaiian ducks, and these estimates are more consistent with ancient, rather than contemporary, hybridization. Time since divergence estimates suggest that the genetic admixture event occurred around the Pleistocene-Holocene boundary, which is further supported by circumstantial evidence from the Hawaiian subfossil record. Although the extent of reproductive isolation from either putative parental taxon is not currently known, these species are phenotypically, genetically and ecologically different, and they meet primary criteria used in avian taxonomy for species designation. Thus, the available data are consistent with an admixed origin and support the hypothesis that the Hawaiian duck may represent a young hybrid species.
352	25843471	Mycotic Keratitis in a Khaki Campbell Duck ( Anas platyrhynchos domesticus).	Sadar MJ, Guzman DS, Burton AG, Byrne BA, Wiggans KT, Hollingsworth SR	J Avian Med Surg	 2014 Dec;28(4):322-9	 doi: 101647/2013-050	A 1.5-year-old, intact female khaki Campbell duck (Anas platyrhynchos domesticus) was evaluated for lethargy and a swollen left eye (OS). Mucoid discharge, chemosis, and conjunctival hyperemia with trace aqueous flare, indicating anterior uveitis, in the anterior chamber were evident on ophthalmic examination. There was no fluorescein stain uptake by the cornea. Initial topical antibiotic therapy and systemic anti-inflammatory treatments were unsuccessful, and the lesion progressed to a diffuse, yellow-white plaque, which covered 90%-95% of the cornea 4 days later. There was moderate blepharospasm, mild blepharedema, and epiphora OS. The mobility of the nictitating membrane was impaired because of the presence of the plaque over the cornea. Cytologic examination of a corneal scraping revealed fungal hyphae, and aerobic culture confirmed Aspergillus species. Treatment with topical voriconazole (1 drop OS q4h-q6h) was initiated and was switched to oral voriconazole (20 mg/kg PO q12h) 6 days after initiating treatment. The ocular disease improved during the antifungal treatment period. Eighty-four days after initial presentation (9 days after discontinuation of treatment), there was no clinical evidence of mycotic keratitis on ophthalmic examination.
353	25816333	Identification and expression analysis of the interferon-induced protein with tetratricopeptide repeats 5 (IFIT5) gene in duck (Anas platyrhynchos domesticus).	Wang B, Chen Y, Mu C, Su Y, Liu R, Huang Z, Li Y, Yu Q, Chang G, Xu Q, Chen G	PLoS One	 2015 Mar 27;10(3):e0121065	 doi: 101371/journalpone0121065 eCollection 2015	The interferon-induced proteins with tetratricopeptide repeats (IFITs) protein family mediates antiviral effects by inhibiting translation initiation, cell proliferation, and migration in the interferon (IFN) dependent innate immune system. Several members of this family, including IFIT1, IFIT2, IFIT3 and IFIT5, have been heavily studied in mammals. Avian species contain only one family member, IFIT5, and little is known about the role of this protein in birds. In this study, duck IFIT5 (duIFIT5) full-length mRNA was cloned by reverse transcription polymerase chain reaction (RT-PCR) and rapid amplification of the cDNA ends (RACE). Based on the sequence obtained, we performed a series of bioinformatics analyses, and found that duIFIT5 was most similar to homologs in other avian species. Also, duIFIT5 contained eight conserved TPR motifs and two conserved multi-domains (TPR_11 and TPR_12). Finally, we used duck hepatitis virus type 1 (DHV-1) and polyriboinosinicpolyribocytidylic acid (poly (I:C)) as a pathogen or a pathogen-associated molecular pattern induction to infect three-day-old domestic ducklings. The liver and spleen were collected to detect the change in duIFIT5 transcript level upon infection by quantitative real-time PCR (qRT-PCR). DuIFIT5 expression rapidly increased after DHV-1 infection and maintained a high level, while the transcripts of duIFIT5 peaked at 8h after poly (I:C) infection and then returned to normal. Taken together, these results provide a greater understanding of avian IFIT5.
354	25724855	Integrative taxonomy of central European parasitic flatworms of the family Prosthogonimidae Luhe, 1909 (Trematoda: Plagiorchiida).	Heneberg P, Sitko J, Bizos J	Parasitol Int	 2015 Oct;64(5):264-73	 doi: 101016/jparint201502003 Epub 2015 Feb 25	Species of the family Prosthogonimidae are considered the most pathogenic poultry trematodes worldwide, affecting particularly low intensity farming in rural areas. Adults of Prosthogonimus occur mainly in the bursa of Fabricius, oviduct and cloaca of ducks, geese, fowl and other birds feeding at least occasionally on dragonflies or damselflies (Odonata). We analyzed the central European species of the Prosthogonimidae, namely Prosthogonimus cuneatus, Prosthogonimus ovatus, Prosthogonimus pellucidus and Prosthogonimus rarus. We sequenced three nuclear (ITS2) and mitochondrial (CO1, ND1) DNA loci of four species isolated from Anas clypeata, Anas strepera, Anas platyrhynchos, Aythya ferina, Passer domesticus and Turdus merula. Intra- and inter-specific sequence variability revealed that all four species represent distinct well-defined entities. Our data, combined with previously published studies, suggest the return of the name Prosthogonimus rarus Braun, 1901 for Schistogonimus rarus (Braun, 1901). The genus name Schistogonimus Luhe, 1909 is considered a junior synonym of Prosthogonimus Luhe, 1899. We identified the existence of two clades, one represented by P. cuneatus and P. pellucidus, and another one formed by P. ovatus and P. rarus. We also provide comparative measurements of these four central European prosthogonimids, and address their tissue specificity, host-specific prevalence (based on the extensive bird cohort examined in years 1962-2014), and for some bird hosts we address also differences in the prevalence of Prosthogonimus spp. in natural and near-natural wetlands in comparison with fishponds utilized for intense carp production. We provide an updated key to European Prosthogonimus spp. based on their morphological characters.
355	25715691	Selection for Duration of Fertility and Mule Duck White Plumage Colour in a Synthetic Strain of Ducks (Anas platyrhynchos).	Liu HC, Huang JF, Lee SR, Liu HL, Hsieh CH, Huang CW, Huang MC, Tai C, Poivey JP, Rouvier R, Cheng YS	Asian-Australas J Anim Sci	 2015 May;28(5):605-11	 doi: 105713/ajas140740	A synthetic strain of ducks (Anas platyrhynchos) was developed by introducing genes for long duration of fertility to be used as mother of mule ducklings and a seven-generation selection experiment was conducted to increase the number of fertile eggs after a single artificial insemination (AI) with pooled Muscovy semen. Reciprocal crossbreeding between Brown Tsaiya LRI-2 (with long duration of fertility) and Pekin L-201 (with white plumage mule ducklings) ducks produced the G0. Then G1 were intercrossed to produce G2 and so on for the following generations. Each female duck was inseminated 3 times, at 26, 29, and 32 weeks of age. The eggs were collected for 14 days from day 2 after AI. Individual data regarding the number of incubated eggs (Ie), the number of fertile eggs at candling at day 7 of incubation (F), the total number of dead embryos (M), the maximum duration of fertility (Dm) and the number of hatched mule ducklings (H) with plumage colour were recorded. The selection criterion was the breeding values of the best linear unbiased prediction animal model for F. The results show high percentage of exhibited heterosis in G2 for traits to improve (19.1% for F and 12.9% for H); F with a value of 5.92 (vs 3.74 in the Pekin L-201) was improved in the G2. Heritabilities were found to be low for Ie (h (2) = 0.07+/-0.03) and M (h (2) = 0.07+/-0.01), moderately low for Dm (h (2) = 0.13+/-0.02), of medium values for H (h (2) = 0.20+/-0.03) and F (h (2) = 0.23+/-0.03). High and favourable genetic correlations existed between F and Dm (rg = 0.93), between F and H (rg = 0.97) and between Dm and H (rg = 0.90). The selection experiment showed a positive trend for phenotypic values of F (6.38 fertile eggs in G10 of synthetic strain vs 5.59 eggs in G4, and 3.74 eggs in Pekin L-201), with correlated response for increasing H (5.73 ducklings in G10 vs 4.86 in G4, and 3.09 ducklings in Pekin L-201) and maximum duration of the fertile period without increasing the embryo mortality rate. The average predicted genetic response for F was 40% of genetic standard deviation per generation of selection. The mule ducklings' feather colour also was improved. It was concluded that this study provided results for a better understanding of the genetics of the duration of fertility traits in the common female duck bred for mule and that the selection of a synthetic strain was effective method of improvement.
356	25706595	A novel green and template free approach for the synthesis of gold nanorice and its utilization as a catalyst for the degradation of hazardous dye.	Sinha T, Ahmaruzzaman M	Spectrochim Acta A Mol Biomol Spectrosc	 2015 May 5;142:266-70	 doi: 101016/jsaa201502020 Epub 2015 Feb 12	Herein, we describe a simple, green and template free method for the production of rice shaped gold nanostructures using an aqueous extract of the egg shells of Anas platyrhynchos. The synthesized nanoparticles were characterized by UV-visible, transmission electron microscopy (TEM), selected area electron diffraction pattern (SAED) and FT-IR studies. The UV-visible spectrum of the synthesized gold nanostructures showed a transverse mode surface plasmon resonance peaks (SPR) at around 540nm and a longitudinal mode at 880nm. The TEM and SAED pattern confirmed the morphology, size and crystallographic structure of the synthesized gold nanorice. The synthesized gold nanorice was utilized for the removal of a toxic Eosin Y dye by photodegradation. It was observed that the dye was degraded completely within 1h and the percentage efficiency was found to be 96.1%.
357	25706091	Potency of polycyclic aromatic hydrocarbons (PAHs) for induction of ethoxyresorufin-O-deethylase (EROD) activity in hepatocyte cultures from chicken, Pekin duck, and greater scaup.	Head JA, Jeffery RW, Farmahin R, Kennedy SW	Environ Sci Technol	 2015 Mar 17;49(6):3787-94	 doi: 101021/acsest5b00125 Epub 2015 Mar 9	The potency of tetrachlorodibenzo-p-dioxin (TCDD) and 18 polycyclic aromatic hydrocarbons (PAHs) for induction of ethoxyresorufin-O-deethylase (EROD) activity was assessed in primary hepatocyte cultures prepared from chicken (Gallus domesticus), Pekin duck (Anas platyrhynchos domesticus), and greater scaup (Aythya marila). TCDD and 8 of the PAHs induced EROD activity in a concentration-dependent manner. Seven of these were previously shown to be acutely toxic to avian embryos, while the 10 congeners that did not produce an EROD response caused limited mortality. The rank order potency of the EROD-active congeners in all three species was as follows: TCDD>dibenz[ah]anthracene>benzo[k]fluoranthene>indeno[1,2,3-cd]pyrene>benzo[a]pyr ene>chrysene approximately benz[a]anthracene approximately benz[ghi]perylene>benzo[b]naphtho[2,3-d]thiophene. Chicken hepatoctyes were more sensitive than duck hepatocytes to EROD induction by all test compounds, but the gap in species sensitivity was 100-fold for TCDD, and generally </=10-fold for PAHs. This study is the first to use in vitro methods to rank the AHR-mediated potency of PAHs in birds. These data may be useful for assessing risks associated with exposure to PAHs in the environment.
358	25691969	Minor differences in body condition and immune status between avian influenza virus-infected and noninfected mallards: a sign of coevolution-	van Dijk JG, Fouchier RA, Klaassen M, Matson KD	Ecol Evol	 2015 Jan;5(2):436-49	 doi: 101002/ece31359 Epub 2014 Dec 31	Wildlife pathogens can alter host fitness. Low pathogenic avian influenza virus (LPAIV) infection is thought to have negligible impacts on wild birds; however, effects of infection in free-living birds are largely unstudied. We investigated the extent to which LPAIV infection and shedding were associated with body condition and immune status in free-living mallards (Anas platyrhynchos), a partially migratory key LPAIV host species. We sampled mallards throughout the species' annual autumn LPAIV infection peak, and we classified individuals according to age, sex, and migratory strategy (based on stable hydrogen isotope analysis) when analyzing data on body mass and five indices of immune status. Body mass was similar for LPAIV-infected and noninfected birds. The degree of virus shedding from the cloaca and oropharynx was not associated with body mass. LPAIV infection and shedding were not associated with natural antibody (NAbs) and complement titers (first lines of defense against infections), concentrations of the acute phase protein haptoglobin (Hp), ratios of heterophils to lymphocytes (H:L ratio), and avian influenza virus (AIV)-specific antibody concentrations. NAbs titers were higher in LPAIV-infected males and local (i.e., short distance) migrants than in infected females and distant (i.e., long distance) migrants. Hp concentrations were higher in LPAIV-infected juveniles and females compared to infected adults and males. NAbs, complement, and Hp levels were lower in LPAIV-infected mallards in early autumn. Our study demonstrates weak associations between infection with and shedding of LPAIV and the body condition and immune status of free-living mallards. These results may support the role of mallards as asymptomatic carriers of LPAIV and raise questions about possible coevolution between virus and host.
359	25669618	Occurrence of Giardia and Cryptosporidium in wild birds in Galicia (Northwest Spain).	Reboredo-Fernandez A, Ares-Mazas E, Caccio SM, Gomez-Couso H	Parasitology	 2015 Jun;142(7):917-25	 doi: 101017/S0031182015000049 Epub 2015 Feb 11	Faecal samples were obtained from 433 wild birds being treated in wildlife recovery centres in Galicia (Northwest Spain), between February 2007 and September 2009. The birds belonged to 64 species representing 17 different orders. Giardia cysts and Cryptosporidium oocysts were detected by an immunofluorescence antibody test and identified at the molecular level by established PCR-sequencing methods. The overall prevalence of Giardia was 2.1% and that of Cryptosporidium, 8.3%. To our knowledge, this is the first description of Giardia sp. in Tyto alba and Caprimulgus europaeus; and of Cryptosporidium sp. in Apus apus, Athene noctua, C. europaeus, Falco tinnunculus, Morus bassanus, Parabuteo unicinctus and Strix aluco. Furthermore, the first PCR-sequence confirmed detection of Giardia duodenalis assemblage B in, Buteo buteo, Coturnix coturnix and Pica pica; G. duodenalis assemblage D in Garrulus glandarius; and G. duodenalis assemblage F in Anas platyrhynchos; Cryptosporidium parvum in Accipiter nisus, B. buteo, Milvus migrans, Pernis apivorus and P. pica; and Cryptosporidium meleagridis in Streptopelia turtur. The study findings demonstrate the wide spread of Giardia and Cryptosporidium between wild birds.
360	25652220	Approaching birds with drones: first experiments and ethical guidelines.	Vas E, Lescroel A, Duriez O, Boguszewski G, Gremillet D	Biol Lett	 2015 Feb;11(2):20140754	 doi: 101098/rsbl20140754	Unmanned aerial vehicles, commonly called drones, are being increasingly used in ecological research, in particular to approach sensitive wildlife in inaccessible areas. Impact studies leading to recommendations for best practices are urgently needed. We tested the impact of drone colour, speed and flight angle on the behavioural responses of mallards Anas platyrhynchos in a semi-captive situation, and of wild flamingos (Phoenicopterus roseus) and common greenshanks (Tringa nebularia) in a wetland area. We performed 204 approach flights with a quadricopter drone, and during 80% of those we could approach unaffected birds to within 4 m. Approach speed, drone colour and repeated flights had no measurable impact on bird behaviour, yet they reacted more to drones approaching vertically. We recommend launching drones farther than 100 m from the birds and adjusting approach distance according to species. Our study is a first step towards a sound use of drones for wildlife research. Further studies should assess the impacts of different drones on other taxa, and monitor physiological indicators of stress in animals exposed to drones according to group sizes and reproductive status.
361	25636141	Outbreaks of West Nile virus in captive waterfowl in Ontario, Canada.	Cox SL, Campbell GD, Nemeth NM	Avian Pathol	 2015;44(2):135-41	 doi: 101080/0307945720151011604	The detrimental effects of West Nile virus (WNV) have been well characterized in several taxonomic groups of North American birds, such as corvids and raptors. Relatively less is known about the virus' effects in waterfowl species, many of which are abundant in North America and occupy habitats, for example wetlands and marshes, likely to harbour dense mosquito populations. In two successive years, outbreaks of WNV-associated disease were observed in waterfowl at a rehabilitation centre. In the present report, clinical and pathological findings are provided for seven mallards (Anas platyrhynchos) and one Canada goose (Branta canadensis) that developed acute disease and either died or were killed humanely. The most severe and consistent microscopic lesion in mallards was myocardial degeneration and coagulative necrosis consistent with acute heart failure. The Canada goose had necrotizing myocarditis. Other lesions included pulmonary perivascular oedema, lymphoplasmacytic hepatitis, and splenic and bursal lymphoid depletion. WNV infection was confirmed using reverse transcriptase-polymerase chain reaction and immunohistochemical staining. Myofibres within all cardiac muscle layers had positive immunohistochemical staining, as did blood vessel walls in the heart and spleen. These results suggest that juvenile mallards are highly susceptible to fatal WNV-associated cardiac failure, and confirm that adult Canada geese are susceptible to fatal WNV-associated disease. The synchronous timing of clinical disease and death in these waterfowl are consistent with WNV mosquito-borne infections within a WNV transmission focus during the summer (July and August) of 2012 and 2013.
362	25616792	Oseltamivir-resistant influenza A (H1N1) virus strain with an H274Y mutation in neuraminidase persists without drug pressure in infected mallards.	Gillman A, Muradrasoli S, Soderstrom H, Holmberg F, Latorre-Margalef N, Tolf C, Waldenstrom J, Gunnarsson G, Olsen B, Jarhult JD	Appl Environ Microbiol	 2015 Apr;81(7):2378-83	 doi: 101128/AEM04034-14 Epub 2015 Jan 23	Influenza A virus (IAV) has its natural reservoir in wild waterfowl, and emerging human IAVs often contain gene segments from avian viruses. The active drug metabolite of oseltamivir (oseltamivir carboxylate [OC]), stockpiled as Tamiflu for influenza pandemic preparedness, is not removed by conventional sewage treatment and has been detected in river water. There, it may exert evolutionary pressure on avian IAV in waterfowl, resulting in the development of resistant viral variants. A resistant avian IAV can circulate among wild birds only if resistance does not restrict viral fitness and if the resistant virus can persist without continuous drug pressure. In this in vivo mallard (Anas platyrhynchos) study, we tested whether an OC-resistant avian IAV (H1N1) strain with an H274Y mutation in the neuraminidase (NA-H274Y) could retain resistance while drug pressure was gradually removed. Successively infected mallards were exposed to decreasing levels of OC, and fecal samples were analyzed for the neuraminidase sequence and phenotypic resistance. No reversion to wild-type virus was observed during the experiment, which included 17 days of viral transmission among 10 ducks exposed to OC concentrations below resistance induction levels. We conclude that resistance in avian IAV that is induced by exposure of the natural host to OC can persist in the absence of the drug. Thus, there is a risk that human-pathogenic IAVs that evolve from IAVs circulating among wild birds may contain resistance mutations. An oseltamivir-resistant pandemic IAV would pose a substantial public health threat. Therefore, our observations underscore the need for prudent oseltamivir use, upgraded sewage treatment, and surveillance for resistant IAVs in wild birds.
363	25590589	Incubation temperature influences trade-off between structural size and energy reserves in mallard hatchlings.	Kolackova M, Prokupkova L, Albrecht T, Horak D	Physiol Biochem Zool	 2015 Jan-Feb;88(1):1-10	 doi: 101086/679602 Epub 2014 Dec 23	The reproductive success of precocial birds depends on investments in clutch formation and incubation. Egg quality strongly affects the phenotypic traits correlated with survival of the hatchling, but parental ability to maintain incubation temperature can also influence hatchling outcomes. The effect of incubation temperature on hatchling phenotype has been widely studied in reptiles but not in birds. The aim of this study was to explore the effects of egg mass and incubation temperature on the incubation period, hatchability, and hatchling phenotype of the mallard (Anas platyrhynchos). Mallard eggs were incubated under six constant incubation temperatures (ranging from 35.0 degrees to 39.0 degrees C). Hatchlings were weighed, and their structural size was measured. Some hatchlings were used for an examination of residual yolk sac mass and basic chemical composition of the yolk-free body. All investigated phenotypic traits except for chemical composition were positively correlated with egg mass. Incubation temperature did not affect hatchling body mass, but increased temperatures led to a decreased yolk-free body mass and structural size of hatchlings and to increased yolk sac mass. Our results suggest that there is a trade-off between the yolk-free body size and energetic reserves in the form of the yolk sac and that this trade-off is modulated by incubation temperature.
364	25588012	Surveillance and characterization of Riemerella anatipestifer from wild birds in South Korea.	Cha SY, Seo HS, Wei B, Kang M, Roh JH, Yoon RH, Kim JH, Jang HK	J Wildl Dis	 2015 Apr;51(2):341-7	 doi: 107589/2014-05-128 Epub 2015 Jan 14	We conducted surveillance for Riemerella anatipestifer (RA) in wild birds along the East Asian-Australasian flyway in South Korea. Detected RA were characterized by serotype, antibiotic susceptibility, and sequence analysis of the 16S rRNA gene. We collected 944 wild birds of 34 species from 19 of South Korea's major migratory wild bird habitats between 2011 and 2012. We identified RA by PCR and rRNA gene sequence in 71/102 (69.6%) pharyngeal swabs and 19/944 (2.0%) cloacal swabs of wild birds. Most RA positives (71/75 [95%] pharyngeal and 19/704 [(2.6%] cloacal) were from three duck species (family Anatidae): Mallard Duck (Anas platyrhynchos), Northern Pintail (Anas acuta), and Spot-billed Duck (Anas poecilorhyncha). Thirty-three RA isolates obtained and examined were highly resistant to aminoglycosides: kanamycin (100%), gentamicin (94%), amikacin (91%), neomycin (88%), and streptomycin (82%). Six isolates were identified as serotype 4 by agar gel precipitation. Serotypes 1 and 7, which are known virulent serotypes, were also identified in three isolates from wild duck species.
365	25577952	Profiles of mRNA expression of related genes in the duck hypothalamus-pituitary growth axis during embryonic and early post-hatch development.	Hu Y, Liu H, Song C, Xu W, Ji G, Zhu C, Shu J, Li H	Gene	 2015 Mar 15;559(1):38-43	 doi: 101016/jgene201501009 Epub 2015 Jan 9	In this study, the ontogeny of body and liver weight and the pattern of related gene mRNA expression in the hypothalamus-pituitary growth axis (HPGA) of two different duck breeds (Anas platyrhynchos domestica) were compared during embryonic and post-hatch development. Duck hypothalamic growth hormone release hormone (GHRH), somatostatin (SS), pituitary growth hormone (GH), liver growth hormone receptor (GHR) and insulin-like growth factor-I (IGF-1) mRNA were first detected on the 13th embryonic day. During early duck development, SS maintained a lower expression status, whereas the other four genes exhibited highly significant variations in an age-specific manner. Highly significant breed specificity was observed with respect to hepatic IGF-1 mRNA expression, which showed a significant breed-age interaction effect. Compared with previous studies on chickens, significant species differences were observed regarding the mRNA expression of bird embryonic HPGA-related genes. During early development, highly significant breed and age specificity were observed with respect to developmental changes in body and liver weight, and varying degrees of significant linear correlation were found between these performances and the mRNA expression of HPGA-related genes in the duck HPGA. These results suggest that different genetic backgrounds may lead to differences in duck growth and HPGA-related gene mRNA expression, and the differential mRNA expression of related genes in the duck HPGA may be particularly important in the early growth of ducks. Furthermore, hepatic IGF-1 mRNA expression presented highly significant breed specificity, and evidence suggests the involvement of hepatic IGF-1 in mediating genetic effects on embryo and offspring growth in ducks.
366	25518447	The first case of a major avian type C botulism outbreak in Poland.	Wlodarczyk R, Minias P, Kukier E, Grenda T, Smietanka K, Janiszewski T	Avian Dis	 2014 Sep;58(3):488-90	 doi: 101637/10669-091913-Case1	Major outbreaks of avian type C botulism have been rarely reported from Central Europe. In this paper, we report the first severe outbreak of avian type C botulism in Poland. In 2011-12, two epizootics caused by Clostridium botulinum took place at Jeziorsko dam reservoir and affected an estimated number of 5500 birds in 2011 and 1600 birds in 2012. In total, 24 species ofwaterbirds were affected, including mainly waterfowl (37.0%), shorebirds (27.0%), rallids (25.7%), and larids (9.1%). Mallards (Anas platyrhynchos) and coots (Fulica atra) were most commonly represented among all affected species (27.5% and 25.0% of all recorded carcasses, respectively). Laboratory analyses confirmed the presence of type C botulinum toxin in the internal organs of paralyzed birds. This case study from the Jeziorsko dam reservoir demonstrates that this type of shallow-water habitat is especially prone to avian botulism outbreaks in the climatic conditions of Central Europe.
367	25514789	Wild mallards have more "goose-like" bills than their ancestors: a case of anthropogenic influence-	Soderquist P, Norrstrom J, Elmberg J, Guillemain M, Gunnarsson G	PLoS One	 2014 Dec 16;9(12):e115143	 doi: 101371/journalpone0115143 eCollection 2014	Wild populations of the world's most common dabbling duck, the mallard (Anas platyrhynchos), run the risk of genetic introgression by farmed conspecifics released for hunting purposes. We tested whether bill morphology of free-living birds has changed since large-scale releases of farmed mallards started. Three groups of mallards from Sweden, Norway and Finland were compared: historical wild (before large-scale releases started), present-day wild, and present-day farmed. Higher density of bill lamellae was observed in historical wild mallards (only males). Farmed mallards had wider bills than present-day and historical wild ones. Present-day wild and farmed mallards also had higher and shorter bills than historical wild mallards. Present-day mallards thus tend to have more "goose-like" bills (wider, higher, and shorter) than their ancestors. Our study suggests that surviving released mallards affect morphological traits in wild population by introgression. We discuss how such anthropogenic impact may lead to a maladapted and genetically compromised wild mallard population. Our study system has bearing on other taxa where large-scale releases of conspecifics with 'alien genes' may cause a cryptic invasive process that nevertheless has fitness consequences for individual birds.
368	25481845	Cutaneous, respiratory and hepatic aspergillosis in Brazilian white Pekin mallards (Anas platyrhynchos).	Copetti MV, Barcelos Ada S, Kommers GD, Santurio JM, Oliveira FN, Lovato M	Mycopathologia	 2015 Apr;179(3-4):321-5	 doi: 101007/s11046-014-9833-6 Epub 2014 Dec 7	Aspergillosis is one of the most frequent mycosis affecting avian species. Here is reported an outbreak of aspergillosis affecting 60-day-old white Pekin mallards (Anas platyrhynchos). About 10% of animals in a lot of 200 mallards from a commercial husbandry presented respiratory disorders and skin lesions at slaughter. Three out of 13 animals sent to diagnosis showed, simultaneously, airsacculitis, lung and liver presenting white nodules with variable diameters and elevated, yellowish brown, crusted, multifocal skin lesions located at the base of the feather follicles in the breast. Histopathological examination of lung and liver samples revealed nodules of different sizes with small areas of necrosis surrounded by intense granulomatous inflammation and the presence of fungal hyphae. The skin samples showed dermatitis surrounding a severe necrotizing folliculitis, associated with fungal hyphae. Mycological evaluation of tissues allowed the isolation of Aspergillus fumigatus from the skin samples and Aspergillus flavus from lungs and liver samples. The application of quicklime (CaO) in the litter as part of the disinfection procedures could have contributed to the development of skin lesion in the mallards, predisposing the fungal installation in the damaged site. The occurrence of cutaneous lesions associated with A. fumigatus is a rare manifestation of aspergillosis in birds, and this appears to be the first case reported in white Pekin mallards.
369	25477681	A nuclear DNA-based species determination and DNA quantification assay for common poultry species.	Ng J, Satkoski J, Premasuthan A, Kanthaswamy S	J Food Sci Technol	 2014 Dec;51(12):4060-5	 doi: 101007/s13197-012-0893-7 Epub 2012 Nov 28	DNA testing for food authentication and quality control requires sensitive species-specific quantification of nuclear DNA from complex and unknown biological sources. We have developed a multiplex assay based on TaqMan(R) real-time quantitative PCR (qPCR) for species-specific detection and quantification of chicken (Gallus gallus), duck (Anas platyrhynchos), and turkey (Meleagris gallopavo) nuclear DNA. The multiplex assay is able to accurately detect very low quantities of species-specific DNA from single or multispecies sample mixtures; its minimum effective quantification range is 5 to 50 pg of starting DNA material. In addition to its use in food fraudulence cases, we have validated the assay using simulated forensic sample conditions to demonstrate its utility in forensic investigations. Despite treatment with potent inhibitors such as hematin and humic acid, and degradation of template DNA by DNase, the assay was still able to robustly detect and quantify DNA from each of the three poultry species in mixed samples. The efficient species determination and accurate DNA quantification will help reduce fraudulent food labeling and facilitate downstream DNA analysis for genetic identification and traceability.
370	25450775	Plasmodium spp.: an experimental study on vertebrate host susceptibility to avian malaria.	Dimitrov D, Palinauskas V, Iezhova TA, Bernotiene R, Ilgunas M, Bukauskaite D, Zehtindjiev P, Ilieva M, Shapoval AP, Bolshakov CV, Markovets MY, Bensch S, Valkiunas G	Exp Parasitol	 2015 Jan;148:1-16	 doi: 101016/jexppara201411005 Epub 2014 Nov 18	The interest in experimental studies on avian malaria caused by Plasmodium species has increased recently due to the need of direct information about host-parasite interactions. Numerous important issues (host susceptibility, development of infection, the resistance and tolerance to avian malaria) can be answered using experimental infections. However, specificity of genetically different lineages of malaria parasites and their isolates is largely unknown. This study reviews recent experimental studies and offers additional data about susceptibility of birds to several widespread cytochrome b (cyt b) lineages of Plasmodium species belonging to four subgenera. We exposed two domesticated avian hosts (canaries Serinus canaria and ducklings Anas platyrhynchos) and also 16 species of common wild European birds to malaria infections by intramuscular injection of infected blood and then tested them by microscopic examination and PCR-based methods. Our study confirms former field and experimental observations about low specificity and wide host-range of Plasmodium relictum (lineages SGS1 and GRW11) and P. circumflexum (lineage TURDUS1) belonging to the subgenera Haemamoeba and Giovannolaia, respectively. However, the specificity of different lineages and isolates of the same parasite lineage differed between species of exposed hosts. Several tested Novyella lineages were species specific, with a few cases of successful development in experimentally exposed birds. The majority of reported cases of mortality and high parasitaemia were observed during parasite co-infections. Canaries were susceptible mainly for the species of Haemamoeba and Giovannolaia, but were refractory to the majority of Novyella isolates. Ducklings were susceptible to three malaria infections (SGS1, TURDUS1 and COLL4), but parasitaemia was light (<0.01%) and transient in all exposed birds. This study provides novel information about susceptibility of avian hosts to a wide array of malaria parasite lineages, outlining directions for future experimental research on various aspects of biology and epidemiology of avian malaria.
