sentence_id	entity_id	entity	entity_type	correct	not_an_entity	wrong_border	entity_position
APL28198082003	APL2819808200302	glucose homeostasis	phenotype	0	0	0	97:115
APL27531612001	APL2753161200101	PPIA	gene	0	0	0	165:168
APL27531612001	APL2753161200102	immune system regulation	phenotype	0	0	0	302:325
APL27531612001	APL2753161200103	apoptosis	phenotype	0	0	0	328:336
APL27531612001	APL2753161200104	virus replication	phenotype	0	0	0	342:358
APL27044589001	APL2704458900101	NPY	gene	0	0	0	87:89
APL27044589001	APL2704458900102	Anas platyrhynchos f. domestica	phenotype	0	0	0	164:194
APL27044589001	APL2704458900103	GAL	gene	0	0	0	105:107
APL27044589002	APL2704458900201	NPY	gene	0	0	0	72:74
APL27044589002	APL2704458900202	pterygopalatine ganglion	phenotype	0	0	0	91:114
APL27044589002	APL2704458900203	GAL	gene	0	0	0	80:82
APL27044589003	APL2704458900301	NPY	gene	0	0	0	36:38
APL27044589003	APL2704458900302	lacrimal gland	phenotype	0	0	0	243:256
APL27044589003	APL2704458900303	GAL	gene	0	0	0	45:47
APL26385336001	APL2638533600101	CALB1	gene	0	0	0	34:38
APL26385336001	APL2638533600102	calcium transport	phenotype	0	0	0	79:95
APL25917302001	APL2591730200101	IGF2	gene	0	0	0	55:58
APL25917302001	APL2591730200102	lipid metabolism	phenotype	0	0	0	23:38
APL25917302001	APL2591730200103	FABP5	gene	0	0	0	61:65
APL25917302002	APL2591730200201	TNFRSF19	gene	0	0	0	76:83
APL25917302002	APL2591730200202	tumor suppression	phenotype	0	0	0	44:60
APL25917302002	APL2591730200203	TNFAIP6	gene	0	0	0	86:92
APL25917302002	APL2591730200204	IGSF21	gene	0	0	0	95:100
APL25577952001	APL2557795200101	GHRH	gene	0	0	0	51:54
APL25577952001	APL2557795200102	SS	phenotype	0	0	0	72:73
APL25577952001	APL2557795200103	GH	gene	0	0	0	51:52,103:104,139:140
APL25577952001	APL2557795200104	GHR	gene	0	0	0	51:53,139:141
APL24926893001	APL2492689300101	GUSB	gene	0	0	0	81:84
APL24926893001	APL2492689300102	domestic turkey	phenotype	0	0	0	321:335
APL24926893001	APL2492689300103	Nymphicus hollandicus	phenotype	0	0	0	384:404
APL24926893001	APL2492689300104	Struthio camelus	phenotype	0	0	0	457:472
APL24926893001	APL2492689300105	Taeniopygia guttata	phenotype	0	0	0	492:510
APL24926893001	APL2492689300106	HMBS	gene	0	0	0	87:90
APL24926893001	APL2492689300107	RPL13	gene	0	0	0	105:109
APL24926893001	APL2492689300108	RPS7	gene	0	0	0	119:122
APL24926893001	APL2492689300109	SDHA	gene	0	0	0	125:128
APL24926893001	APL2492689300110	TFRC	gene	0	0	0	131:134
APL24926893001	APL2492689300111	VIM	gene	0	0	0	137:139
APL24926893001	APL2492689300112	YWHAZ	gene	0	0	0	142:146
APL24076354001	APL2407635400101	LECT2	gene	0	0	0	38:42
APL24076354001	APL2407635400102	regulation of liver regeneration	phenotype	0	0	0	107:138
APL24076354001	APL2407635400103	natural killer T	phenotype	0	0	0	161:176
APL24076354001	APL2407635400104	cell homeostasis	phenotype	0	0	0	178:193
APL23224277001	APL2322427700101	LRP8	gene	0	0	0	53:56
APL23224277001	APL2322427700102	body lipoprotein homeostasis	phenotype	0	0	0	141:168
APL22591010001	APL2259101000101	MC1R	gene	0	0	0	24:27
APL22591010001	APL2259101000102	Anas platyrhynchos	phenotype	0	0	0	100:117
APL22481893001	APL2248189300101	MEF2A	gene	0	0	0	32:36
APL22481893001	APL2248189300102	AGAMOUS	phenotype	0	0	0	60:66
APL22481893001	APL2248189300103	SRF	gene	0	0	0	83:85
APL21819592001	APL2181959200101	VLDLR	gene	0	0	0	181:185
APL21819592001	APL2181959200102	body weight	phenotype	0	0	0	285:295
APL18409086002	APL1840908600201	Ovotransferrin	gene	0	0	0	1:14
APL18409086002	APL1840908600202	egg white	phenotype	0	0	0	123:131
APL16938296001	APL1693829600101	PRL	gene	0	0	0	163:165
APL16938296001	APL1693829600102	body mass	phenotype	0	0	0	13:21
APL12481873001	APL1248187300101	DDT	gene	0	0	0	1:3
APL12481873001	APL1248187300102	Anas platyrhynchos	phenotype	0	0	0	90:107
APL12481873002	APL1248187300201	DDT	gene	0	0	0	1:3
APL12481873002	APL1248187300202	Anas platyrhynchos	phenotype	0	0	0	130:147
APL10871425001	APL1087142500101	ALAD	gene	0	0	0	134:137
APL10871425001	APL1087142500102	blood lead concentration	phenotype	0	0	0	49:72
APL10871425001	APL1087142500103	depression of red blood cell	phenotype	0	0	0	105:132
APL10871425001	APL1087142500104	erythrocyte protoporphyrin concentration	phenotype	0	0	0	185:224
APL10790508001	APL1079050800101	ALAD	gene	0	0	0	131:134
APL10790508001	APL1079050800102	reduced red blood cell	phenotype	0	0	0	69:90
APL15093475001	APL1509347500101	DDT	gene	0	0	0	72:74
APL15093475001	APL1509347500102	wild brown pelicans	phenotype	0	0	0	108:126
APL15093475001	APL1509347500103	eggshell thinning	phenotype	0	0	0	173:189
APL15091521001	APL1509152100101	ALAD	gene	0	0	0	13:16
APL15091521001	APL1509152100102	blood lead	phenotype	0	0	0	62:71
APL02269436001	APL0226943600101	Argininosuccinate lyase	gene	0	0	0	1:23
APL02269436001	APL0226943600102	eye lens	phenotype	0	0	0	164:171
APL02862973001	APL0286297300101	GH	gene	0	0	0	19:20,286:287
APL02862973001	APL0286297300102	fatty acids	phenotype	0	0	0	212:222
APL07293792001	APL0729379200101	DDT	gene	0	0	0	45:47
APL07293792001	APL0729379200102	reduce the reproductive success	phenotype	0	0	0	85:115
